***|moderate
*itches|moderate
4r5e|moderate
5h1t|moderate
5hit|moderate
God|mild
God damn|moderate
Goddamn|moderate
a**|moderate
a*****es|moderate
a****le|moderate
aclown|moderate
aholes|moderate
as|moderate
a-holes|moderate
a-s-s|moderate
a55|moderate
a_s_s|moderate
absurd|mild
absurdity|mild
abused|moderate
abuser|moderate
acismstupidity|severe
acist|severe
addict|mild
addicts|mild
adolf|severe
aggressive|mild
ahole|moderate
aholes|moderate
amoebas|mild
anal|moderate
anti-american|moderate
anti-catholic|moderate
anti-french|moderate
anti-israel|moderate
anti-lgbt|severe
anti-military|moderate
anti-religious|moderate
antiamerican|moderate
anticatholic|moderate
antichrist|moderate
antifrench|moderate
antiisrael|moderate
antilgbt|severe
antimilitary|moderate
antireligious|moderate
anus|moderate
apd|mild
ar5e|moderate
arrogant|mild
arrse|moderate
arse|moderate
arsehole|moderate
asinine|mild
ass|moderate
ass-fucker|severe
ass-hat|moderate
ass-jabber|severe
ass-pirate|severe
assaultrape|severe
assaultsrape|severe
assbag|moderate
assbandit|moderate
assbanger|moderate
assbite|moderate
assclown|moderate
asscock|severe
asscracker|moderate
asses|moderate
assface|moderate
assfuck|severe
assfucker|severe
assfukka|severe
assgoblin|moderate
asshat|moderate
asshead|moderate
asshole|moderate
assholes|moderate
asshopper|moderate
assjacker|moderate
asslick|moderate
asslicker|moderate
assmonkey|moderate
assmunch|moderate
assmuncher|moderate
assnigger|severe
asspirate|moderate
assshit|severe
assshole|moderate
asssucker|moderate
asswad|moderate
asswhole|moderate
asswipe|moderate
ass |moderate
atrocities|severe
attacker|moderate
authoritarian|mild
axwound|severe
b!tch|moderate
bitch|moderate
b00bs|moderate
b17ch|moderate
b1tch|moderate
babbling|mild
badass|mild
baffoon|mild
ballbag|moderate
balls|moderate
ballsack|moderate
baloney|mild
bammers|mild
bampot|moderate
bang|moderate
barbarians|moderate
barbaric|moderate
bassackward|mild
bastard|moderate
bastardo|moderate
bastardos|moderate
bastards|moderate
basterdization|moderate
bat**|moderate
baztarbs|moderate
beaner|severe
beastial|moderate
beastiality|severe
beaten|moderate
beating|moderate
beatings|moderate
beeotc|moderate
beeotch|moderate
beezy|moderate
bellend|moderate
bellicose|mild
belligerent|mild
bestial|moderate
bestiality|severe
betrayed|mild
bi+ch|moderate
biatch|moderate
bigot|moderate
bigotry|moderate
bigotryor|moderate
bigots|moderate
birther|mild
bitch|moderate
bitchass|moderate
bitcher|moderate
bitchers|moderate
bitches|moderate
bitchin|mild
bitching|mild
bitchout|moderate
bitchtits|moderate
bitchy|mild
blackface|severe
blather|mild
blem|mild
blindness|mild
blood-sucking|moderate
bloodsucking|moderate
bloodthirsty|moderate
bloody|moderate
blow|mild
blow job|moderate
blow-hard|mild
blowhard|mild
blowjob|moderate
blowjobs|moderate
blustering|mild
bogus|mild
boiolas|moderate
bollock|moderate
bollocks|moderate
bollok|moderate
bollox|moderate
boneheaded|mild
boner|moderate
bonkers|mild
boob|mild
boobs|mild
booobs|mild
boooobs|mild
booooobs|mild
booooooobs|mild
boor|mild
boorish|mild
boors|mild
boot-licking|mild
bootlicking|mild
bozo|mild
brain-dead|moderate
braindead|moderate
brat|mild
brats|mild
braying|mild
brays|mild
breasts|mild
brotherfucker|severe
bstard|moderate
bstrd's|moderate
buceta|severe
bucko|mild
